Id,Artist,Album,Filename,Image,ImageUrl
0,Alcoholics Anonymous,A.A. Big Book,aa-big-book.csv,aa-big-book.jpg,https://pictures.abebooks.com/isbn/9781893007161-uk.jpg
1,Alcoholics Anonymous,12 Steps and 12 Traditions,twelve-steps-and-twelve-traditions.csv,twelve-steps-and-twelve-traditions.jpg,https://kbimages1-a.akamaihd.net/47a35319-933c-4a77-94b4-2414da59051c/1200/1200/False/twelve-steps-and-twelve-traditions-1.jpg
2,Joe and Charlie,Joe and Charlie Speaker Tapes,joe-and-charlie.csv,joe-and-charlie.jpg,https://images-na.ssl-images-amazon.com/images/I/41CZrQFAy9L.jpg
3,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,dr-bob-and-bill-w.csv,dr-bob-and-bill-w.jpg,https://images-na.ssl-images-amazon.com/images/I/71GZ2Gqxe7L.jpg
4,Father Martin,Father Martin Speaker Tapes,father-martin.csv,father-martin.jpg,https://i.ytimg.com/vi/ydb8tV8FMm8/sddefault.jpg
5,Sandy B,Sandy B Speaker Tapes,sandy-b.csv,sandy-b.jpg,https://cdn.shopify.com/s/files/1/0948/6694/files/Sandy_lo_res_large.JPG?922330376603249788
6,Father John Doe,Father John Doe Speaker Tapes,father-john-doe.csv,father-john-doe.jpg,https://www.recoveryspeakers.com/wp-content/uploads/2020/11/xpflook318-06s-696x526.jpg
7,Clarence Snyder,Clarence Snyder Speaker Tapes,clarence-snyder.csv,clarence-snyder.jpg,https://i.ytimg.com/vi/onCosJA6BRU/hqdefault.jpg
8,Clancy Imislund,Clancy Imislund Speaker Tapes,clancy-imislund.csv,clancy-imislund.jpg,http://www.mentalhealthportland.org/wp-content/uploads/2011/09/story_imislund.jpg
9,Bob Darrell,Bob Darrell Speaker Tapes,bob-darrell.csv,no-image.jpg,https://play-lh.googleusercontent.com/0ix7lJ69yv55x3s47zfYQkbdhFFnX4lOnxuVBRgwT8ZZ8mHg2XHuIAjiOuS6lRmVS1G9
10,Scott L,Scott L Speaker Tapes,scott-l.csv,no-image.jpg,https://play-lh.googleusercontent.com/0ix7lJ69yv55x3s47zfYQkbdhFFnX4lOnxuVBRgwT8ZZ8mHg2XHuIAjiOuS6lRmVS1G9
11,More AA Speakers,More AA Speaker Tapes,more-aa-speakers.csv,no-image.jpg,https://play-lh.googleusercontent.com/0ix7lJ69yv55x3s47zfYQkbdhFFnX4lOnxuVBRgwT8ZZ8mHg2XHuIAjiOuS6lRmVS1G9
12,Great Audio Shares,Great Audio Shares,great-audio-shares.csv,no-image.jpg,https://play-lh.googleusercontent.com/0ix7lJ69yv55x3s47zfYQkbdhFFnX4lOnxuVBRgwT8ZZ8mHg2XHuIAjiOuS6lRmVS1G9
13,Al-Anon Speakers Tapes,Al-Anon Speakers Tapes,al-anon-speaker-tapes.csv,no-image.jpg,https://play-lh.googleusercontent.com/0ix7lJ69yv55x3s47zfYQkbdhFFnX4lOnxuVBRgwT8ZZ8mHg2XHuIAjiOuS6lRmVS1G9
