Id,Artist,Album,Title,Image,Url
0,Alcoholics Anonymous,A.A. Big Book,Title Page,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182149554%3Fsecret_token%3Ds-SLFpkNLgRIc&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
1,Alcoholics Anonymous,A.A. Big Book,Copyright Information,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182160216%3Fsecret_token%3Ds-khiGdSGENES&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
2,Alcoholics Anonymous,A.A. Big Book,Preface,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182172501%3Fsecret_token%3Ds-INSvpNUi4zg&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
3,Alcoholics Anonymous,A.A. Big Book,Foreword to First Edition,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182195712%3Fsecret_token%3Ds-TsjCP6nuyR9&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
4,Alcoholics Anonymous,A.A. Big Book,Foreword to Second Edition,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182196981%3Fsecret_token%3Ds-umpraJP8B3K&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
5,Alcoholics Anonymous,A.A. Big Book,Foreword to Third Edition,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182210859%3Fsecret_token%3Ds-H6RRo70YpgY&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
6,Alcoholics Anonymous,A.A. Big Book,Foreword to Fourth Edition,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182219517%3Fsecret_token%3Ds-ycGP5BSBv8B&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
7,Alcoholics Anonymous,A.A. Big Book,The Doctor's Opinion,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182221686%3Fsecret_token%3Ds-0CB7z8NCSTG&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
8,Alcoholics Anonymous,A.A. Big Book,Chapter 1 — Bill's Story,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182227359%3Fsecret_token%3Ds-DbYL5BZeQ7d&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
9,Alcoholics Anonymous,A.A. Big Book,Chapter 2 — There Is a Solution,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182231145%3Fsecret_token%3Ds-rXIt4qUJ1UN&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
10,Alcoholics Anonymous,A.A. Big Book,Chapter 3 — More About Alcoholism,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182232795%3Fsecret_token%3Ds-2LI7HXSNtKh&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
11,Alcoholics Anonymous,A.A. Big Book,Chapter 4 - We Agnostics,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182235567%3Fsecret_token%3Ds-wjECp7Cm54N&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
12,Alcoholics Anonymous,A.A. Big Book,Chapter 5 — How It Works,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182238618%3Fsecret_token%3Ds-OsW3FPUB7y7&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
13,Alcoholics Anonymous,A.A. Big Book,Chapter 6 — Into Action,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182241540%3Fsecret_token%3Ds-0PhP2cEHom0&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
14,Alcoholics Anonymous,A.A. Big Book,Chapter 7 — Working with Others,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182247636%3Fsecret_token%3Ds-e8Jow8uABc4&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
15,Alcoholics Anonymous,A.A. Big Book,Chapter 8 — To Wives,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182251161%3Fsecret_token%3Ds-CVZC5M5rA6Y&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
16,Alcoholics Anonymous,A.A. Big Book,Chapter 9 — The Family Afterward,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182265393%3Fsecret_token%3Ds-Andb1v7mDTv&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
17,Alcoholics Anonymous,A.A. Big Book,Chapter 10 — To Employers,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182269521%3Fsecret_token%3Ds-8E6J8LEu26J&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
18,Alcoholics Anonymous,A.A. Big Book,Chapter 11 — A Vision for You,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182272512%3Fsecret_token%3Ds-LUzac40InGf&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
19,Alcoholics Anonymous,A.A. Big Book,PERSONAL STORIES,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182277147%3Fsecret_token%3Ds-xkoPDkHPuBz&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
20,Alcoholics Anonymous,A.A. Big Book,Part I — Pioneers of A.A.,aa-big-book.jpg,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1182287959%3Fsecret_token%3Ds-9cDCMXeU067&visual=&color=%23144580&auto_play=false&hide_related=false&show_comments=false&show_user=false&show_reposts=false&show_artwork=false
