Id,Artist,Album,Title,Image,Url
0,Alcoholics Anonymous,12 Steps and 12 Traditions,Introduction,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/1-01-Introduction.wav?_=1
1,Alcoholics Anonymous,12 Steps and 12 Traditions,Forward,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/1-02-Foreword.mp3?_=2
2,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 1,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/1-03-Step-One.mp3?_=3
3,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 2,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/1-04-Step-Two.mp3?_=4
4,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 3,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/1-05-Step-Three.mp3?_=5
5,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 4,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/2-01-Step-4.mp3?_=6
6,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 5,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/2-02-Step-5.mp3?_=7
7,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 6,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/2-03-Step-6.mp3?_=8
8,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 7,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/3-01-Step-Seven.mp3?_=9
9,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 8,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/3-02-Step-Eight.mp3?_=10
10,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 9,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/3-03-Step-Nine.mp3?_=11
11,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 10,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/3-04-Step-Ten.mp3?_=12
12,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 11,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/4-01-Step-Eleven.mp3?_=13
13,Alcoholics Anonymous,12 Steps and 12 Traditions,Step 12,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/4-02-Step-Twelve.mp3?_=14
14,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 1,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-01-Tradition-One.mp3?_=15
15,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 2,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-02-Tradition-Two.mp3?_=16
16,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 3,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-03-Tradition-Three.mp3?_=17
17,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 4,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-04-Tradition-Four.mp3?_=18
18,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 5,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-05-Tradition-Five.mp3?_=19
19,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 6,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/5-06-Tradition-Six.mp3?_=20
20,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 7,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-01-Tradition-Seven-Twelve-Steps-And-Twelve-Traditions.mp3?_=21
21,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 8,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-02-Tradition-Eight-Twelve-Steps-And-Twelve-Traditions.mp3?_=22
22,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 9,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-03-Tradition-Nine-Twelve-Steps-And-Twelve-Traditions.mp3?_=23
23,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 10,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-04-Tradition-Ten-Twelve-Steps-And-Twelve-Traditions.mp3?_=24
24,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 11,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-05-Tradition-Eleven-Twelve-Steps-And-Twelve-Traditions.mp3?_=25
25,Alcoholics Anonymous,12 Steps and 12 Traditions,Tradition 12,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-06-Tradition-Twelve-Twelve-Steps-And-Twelve-Traditions.mp3?_=26
26,Alcoholics Anonymous,12 Steps and 12 Traditions,The 12 Traditions,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-07-The-Twelve-Traditions-Twelve-Steps-And-Twelve-Traditions.mp3?_=27
27,Alcoholics Anonymous,12 Steps and 12 Traditions,Ending Statistics,twelve-steps-and-twelve-traditions.jpg,http://aainthedesert.org/wp-content/uploads/2019/02/6-08-Ending-Statistics-2006-Twelve-Steps-And-Twelve-Traditions.mp3?_=28
