Id,Title,Filename,PageStart,PageEnd,PageStartPdf,PageEndPdf,SplitBook
0,"Cover
p. 1",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,1,1,1,1,TRUE
1,"January
p. 2-32",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,2,33,2,33,TRUE
2,"February
p. 34-62",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,34,63,34,63,TRUE
3,"March
p. 64-94",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,64,95,64,95,TRUE
4,"April
p. 96-125",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,96,125,96,125,TRUE
5,"May
p. 126-156",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,126,157,126,157,TRUE
6,"June
p. 158-187",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,158,187,158,187,TRUE
7,"July
p. 188-218",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,188,219,188,219,TRUE
8,"August
p. 220-250",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,220,251,220,251,TRUE
9,"September
p. 252-281",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,252,281,252,281,TRUE
10,"October
p. 282-312",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,282,313,282,313,TRUE
11,"November
p. 314-343",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,314,343,314,343,TRUE
12,"December
p. 344-374",https://step2mensgroup.com/wp-content/uploads/2019/12/AA-Daily-Reflections.pdf,344,374,344,374,TRUE
