Id,Title,Filename,Book
0,Basic Texts,readings/aa/basic-texts/index.csv,FALSE
1,Opening Readings,readings/aa/opening-readings/index.csv,FALSE
2,Closing Readings,readings/aa/closing-readings/index.csv,FALSE
3,Prayers,readings/aa/prayers/index.csv,FALSE
4,Information,readings/aa/information.html,FALSE
5,What to Expect,readings/aa/what-to-expect.html,FALSE
6,Newcomers,readings/aa/newcomers.html,FALSE
7,Self-Assessment,readings/aa/self-assessment.html,FALSE
8,12-Steps,readings/aa/12-steps.html,FALSE
9,12-Traditions,readings/aa/12-traditions.html,FALSE
10,12-Concepts,readings/aa/12-concepts.html,FALSE
11,History,readings/aa/history.html,FALSE
