Id,Title,Filename,Book
0,Basic Texts,readings/na/basic-texts/index.csv,FALSE
1,Opening Readings,readings/na/opening-readings/index.csv,FALSE
2,Closing Readings,readings/na/closing-readings/index.csv,FALSE
3,Prayers,readings/na/prayers/index.csv,FALSE
4,Information,readings/na/information.html,FALSE
5,What to Expect,readings/na/what-to-expect.html,FALSE
6,Newcomers,readings/na/newcomers.html,FALSE
7,Self-Assessment,readings/na/self-assessment.html,FALSE
8,12-Steps,readings/na/12-steps.html,FALSE
9,12-Traditions,readings/na/12-traditions.html,FALSE
10,12-Concepts,readings/na/12-concepts.html,FALSE
11,History,readings/na/history.html,FALSE
