Id,Title,Filename,Book
0,Serenity Prayer,readings/na/prayers/serenity-prayer.html,FALSE
1,The Lord's Prayer,readings/na/prayers/the-lords-prayer.html,FALSE
2,Prayer of Saint Francis of Assisi,readings/na/prayers/prayer-of-saint-francis-assisi.html,FALSE
3,Morning Prayer,readings/na/prayers/morning-prayer.html,FALSE
4,Night Prayer,readings/na/prayers/night-prayer.html,FALSE
5,First Step Prayer,readings/na/prayers/first-step-prayer.html,FALSE
6,Second Step Prayer,readings/na/prayers/second-step-prayer.html,FALSE
7,Third Step Prayer,readings/na/prayers/third-step-prayer.html,FALSE
8,Fourth Step Prayer,readings/na/prayers/fourth-step-prayer.html,FALSE
9,Fifth Step Prayer,readings/na/prayers/fifth-step-prayer.html,FALSE
10,Sixth Step Prayer,readings/na/prayers/sixth-step-prayer.html,FALSE
11,Seventh Step Prayer,readings/na/prayers/seventh-step-prayer.html,FALSE
12,Eighth Step Prayer,readings/na/prayers/eighth-step-prayer.html,FALSE
13,Ninth Step Prayer,readings/na/prayers/ninth-step-prayer.html,FALSE
14,Tenth Step Prayer,readings/na/prayers/tenth-step-prayer.html,FALSE
15,Eleventh Step Prayer,readings/na/prayers/eleventh-step-prayer.html,FALSE
16,Twelfth Step Prayer,readings/na/prayers/twelfth-step-prayer.html,FALSE
17,Suggestions About Prayer,readings/na/prayers/suggestions-about-prayer.html,FALSE
