Id,Title,Filename,PageStart,PageEnd,PageStartPdf,PageEndPdf,SplitBook
0,"Title Page
p. i",https://www.aa.org/sites/default/files/2021-11/en_bigbook_titlepage.pdf,1,1,1,1,TRUE
1,"Copyright Information
p. ii",https://www.aa.org/sites/default/files/2021-11/en_bigbook_copyright.pdf,2,2,1,1,TRUE
2,"Contents
p. v-x",https://www.aa.org/sites/default/files/2021-11/en_bigbook_contents.pdf,5,10,1,6,TRUE
3,"Preface
p. xi-xii",https://www.aa.org/sites/default/files/2021-11/en_bigbook_preface.pdf,11,12,1,2,TRUE
4,"Foreword to First Edition
p. xiii-xiv",https://www.aa.org/sites/default/files/2021-11/en_bigbook_forewordfirstedition.pdf,13,14,1,2,TRUE
5,"Foreword to Second Edition
p. xv-xxi",https://www.aa.org/sites/default/files/2021-11/en_bigbook_forewordsecondedition.pdf,15,21,1,7,TRUE
6,"Foreword to Third Edition
p. xxii",https://www.aa.org/sites/default/files/2021-11/en_bigbook_forewordthirdedition.pdf,22,22,1,1,TRUE
7,"Foreword to Fourth Edition
p. xxiii-xxiv",https://www.aa.org/sites/default/files/2021-11/en_bigbook_forewordfourthedition.pdf,23,24,1,2,TRUE
8,"The Doctor's Opinion
p. xxv-xxxii",https://www.aa.org/sites/default/files/2021-11/en_bigbook_foreworddoctorsopinion.pdf,25,32,1,8,TRUE
9,"01. Bill's Story
p. 1-16",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt1.pdf,1,16,1,16,TRUE
10,"02. There is a Solution
p. 17-29",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt2.pdf,17,29,1,13,TRUE
11,"03. More About Alcoholism
p. 30-43",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt3.pdf,30,43,1,14,TRUE
12,"04. We Agnostics
p. 44-57",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt4.pdf,44,57,1,14,TRUE
13,"05. How It Works
p. 58-71",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt5.pdf,58,71,1,14,TRUE
14,"06. Into Action
p. 72-88",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt6.pdf,72,88,1,17,TRUE
15,"07. Working With Others
p. 89-103",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt7.pdf,89,103,1,15,TRUE
16,"08. To Wives
p. 104-121",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt8.pdf,104,121,1,18,TRUE
17,"09. The Family Afterward
p. 122-135",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt9.pdf,122,135,1,14,TRUE
18,"10. To Employers
p. 136-150",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt10.pdf,136,150,1,15,TRUE
19,"11. A Vision For You
p. 151-164",https://www.aa.org/sites/default/files/2021-11/en_bigbook_chapt11.pdf,151,164,1,14,TRUE
