Id,Artist,Album,Title,Image,Url
0,Bob Darrell,Bob Darrell Speaker Tapes,"Bob Darrell, from Las Vegas,Step 4, Fear & Sex,at Woodstock of AA, Cocoa Beach FL. May 2010",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20Darrell%20,%20from%20Las%20Vegas%20,Step%204%20,%20Fear%20&%20Sex%20,at%20Woodstock%20of%20AA%20,%20Cocoa%20Beach%20FL.%20May%202010.mp3"
1,Bob Darrell,Bob Darrell Speaker Tapes,"Bob D, surrender cph12, 2007,05,04",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D,%20surrender%20cph12%20,%202007,05,04.mp3"
2,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speaker - Powerless over alcohol and Step 1 of Alcoholism Recovery (Part 1 of 5),no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20Powerless%20over%20alcohol%20and%20Step%201%20of%20Alcoholism%20Recovery%20(Part%201%20of%205).mp3
3,Bob Darrell,Bob Darrell Speaker Tapes,"Bob D. - AA Speaker - Having an unmanagable life, Steps 2 and 3 (Part 2 of 5)",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20Having%20an%20unmanagable%20life,%20Steps%202%20and%203%20(Part%202%20of%205).mp3"
4,Bob Darrell,Bob Darrell Speaker Tapes,"Bob D. - AA Speakers - AA failures, low recovery rates, suicides, and surrender (Part 3 of 5)",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speakers%20-%20AA%20failures,%20low%20recovery%20rates,%20suicides,%20and%20surrender%20(Part%203%20of%205).mp3"
5,Bob Darrell,Bob Darrell Speaker Tapes,"Bob D. - AA Speakers - Forgiveness, Letting go, Resentment, Fear, and Love (Part 4 of 5)",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speakers%20-%20Forgiveness,%20Letting%20go,%20Resentment,%20Fear,%20and%20Love%20(Part%204%20of%205).mp3"
6,Bob Darrell,Bob Darrell Speaker Tapes,"AA Speaker - Bob D - Saturday - Part 5 - Step 4,5,6,7",no-image.jpg,"https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/AA%20Speaker%20-%20Bob%20D%20-%20Saturday%20-%20Part%205%20-%20Step%204,5,6,7.mp3"
7,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speaker - Turn our will and our lives over to the care of God NEW 2013,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20Turn%20our%20will%20and%20our%20lives%20over%20to%20the%20care%20of%20God%20NEW%202013.mp3
8,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speaker - How my perception changed through AA,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20How%20my%20perception%20changed%20through%20AA.mp3
9,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speaker - A Shining Example of Recovery from Alcoholism,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20A%20Shining%20Example%20of%20Recovery%20from%20Alcoholism.mp3
10,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. Dealing with Resentment 12-Step Recovery from Alcoholism,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20Dealing%20with%20Resentment%2012-Step%20Recovery%20from%20Alcoholism.mp3
11,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speakers - Surrender,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speakers%20-%20Surrender.mp3
12,Bob Darrell,Bob Darrell Speaker Tapes,Bob D. - AA Speaker - The Matters of Fear and Relationships 12-Step Alcoholism Recovery,no-image.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/Bob%20D/Bob%20D.%20-%20AA%20Speaker%20-%20The%20Matters%20of%20Fear%20and%20Relationships%2012-Step%20Alcoholism%20Recovery.mp3
