Id,Artist,Album,Title,Image,Url
0,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,0805-39a - Bill Wilson At Will Roger Aud Ft Worth Tx 6-13-1954,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/16.Bill-W.-Will-Roger-Auditorium-Ft-Worth-TX-6-13-1954.mp3
1,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,0805-44 - Bill Wilson 1947,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/13.Bill-W.-1947.mp3
2,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,10.Bill W. -2nd Talk Dallas TX 2-1951,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/10.Bill-W.-2nd-Talk-Dallas-TX-2-1951.mp3
3,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,11.Bill W. - 18th Anniversary Dinner NY 11-10-52,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/11.Bill-W.-18th-Anniversary-Dinner-NY-11-10-52.mp3
4,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,12.Bill W. - 20th Anniversary Dinner NY 11-9-1954,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/12.Bill-W.-20th-Anniversary-Dinner-NY-11-9-1954.mp3
5,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,14.Bill W. -Intoduction of Sam Shoemaker at St Louis MO 7-1-55,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/14.Bill-W.-Intoduction-of-Sam-Shoemaker-at-St-Louis-MO-7-1-55.mp3
6,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,15.Bill W. - Cleveland OH 1st International 1950,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/15.Bill-W.-Cleveland-OH-1st-International-1950.mp3
7,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,17.Bill W. - Reading HOW IT WORKS,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/17.Bill-W.-Reading-HOW-IT-WORKS-2.mp3
8,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,17.Bill W. - Reading HOW IT WORKS,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/17.Bill-W.-Reading-HOW-IT-WORKS-1.mp3
9,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,17.Bill W. - Reading HOW IT WORKS,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/17.Bill-W.-Reading-HOW-IT-WORKS.mp3
10,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,"18.Bill W. -speaking in Memphis, TN 9-20-1947",dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/18.Bill-W.-speaking-in-Memphis-TN-9-20-1947.mp3
11,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,19.Bill W. -Texas State Conference 1954 talk about the book,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/19.Bill-W.-Texas-State-Conference-1954-talk-about-the-book.mp3
12,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,20.Bill W. - Texas State Conference Dallas TX 1951 Part 1 of 2,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/20.Bill-W.-Texas-State-Conference-Dallas-TX-1951-Part-1-of-2.mp3
13,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,21.Bill W. - Texas State Conference Dallas TX 1951 Part 2 of 2,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/21.Bill-W.-Texas-State-Conference-Dallas-TX-1951-Part-2-of-2.mp3
14,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,24.Dr. Bob -The early days of Alcoholics Anonymous,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/24.Dr_.-Bob-The-early-days-of-Alcoholics-Anonymous.mp3
15,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,25.Dr. Bob's Last Talk,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/25.Dr_.-Bobs-Last-Talk-2.mp3
16,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,25.Dr. Bob's Last Talk,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/25.Dr_.-Bobs-Last-Talk-1.mp3
17,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,25.Dr. Bob's Last Talk,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/25.Dr_.-Bobs-Last-Talk.mp3
18,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,Bill W. - 3rd General Service Convention,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/3.Bill-W.-3rd-General-Service-Convention1952.mp3
19,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,Bill W. - Atlanta Georgia,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/2.Bill-W.-Atlanta-Georgia-1951.mp3
20,Dr Bob and Bill W,Dr Bob and Bill W Speaker Tapes,Bill W. - History of the Big Book,dr-bob-and-bill-w.jpg,https://pleasanthillaa.com/wp-content/uploads/2020/04/5.Bill-W.-The-history-of-the-Big-Book.mp3
