Id,Artist,Album,Title,Image,Url
0,Joe and Charlie,Joe and Charlie Speaker Tapes,AA History - Part 1,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie01.mp3?_=1
1,Joe and Charlie,Joe and Charlie Speaker Tapes,AA History - Part 2,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie02.mp3?_=1
2,Joe and Charlie,Joe and Charlie Speaker Tapes,AA History - Part 3,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie03.mp3?_=1
3,Joe and Charlie,Joe and Charlie Speaker Tapes,AA History - Part 4,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie04.mp3?_=1
4,Joe and Charlie,Joe and Charlie Speaker Tapes,Doctor's Opinion - Part 1,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie05.mp3?_=1
5,Joe and Charlie,Joe and Charlie Speaker Tapes,Doctor's Opinion - Part 2,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie06.mp3?_=1
6,Joe and Charlie,Joe and Charlie Speaker Tapes,Doctor's Opinion - Part 3,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie07.mp3?_=1
7,Joe and Charlie,Joe and Charlie Speaker Tapes,Bill's Story - Part 1,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie08.mp3?_=1
8,Joe and Charlie,Joe and Charlie Speaker Tapes,Bill's Story - Part 2,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie09.mp3?_=1
9,Joe and Charlie,Joe and Charlie Speaker Tapes,There Is A Solution - Part 1,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie10.mp3?_=1
10,Joe and Charlie,Joe and Charlie Speaker Tapes,Spiritual Experience,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie11.mp3?_=1
11,Joe and Charlie,Joe and Charlie Speaker Tapes,There Is A Solution - Part 2,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie12.mp3?_=1
12,Joe and Charlie,Joe and Charlie Speaker Tapes,More about Alcoholism - Part 1,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie13.mp3?_=1
13,Joe and Charlie,Joe and Charlie Speaker Tapes,More about Alcoholism - Part 2,joe-and-charlie.jpg,https://media.silkworth.net/mp3/joecharlie34/joeandcharlie14.mp3?_=1
