Id,Title,Filename,Book
0,Basic Texts,readings/ca/basic-texts/index.csv,FALSE
1,Opening Readings,readings/ca/opening-readings/index.csv,FALSE
2,Closing Readings,readings/ca/closing-readings/index.csv,FALSE
3,Prayers,readings/ca/prayers/index.csv,FALSE
4,Information,readings/ca/information.html,FALSE
5,What to Expect,readings/ca/what-to-expect.html,FALSE
6,Newcomers,readings/ca/newcomers.html,FALSE
7,Self-Assessment,readings/ca/self-assessment.html,FALSE
8,12-Steps,readings/ca/12-steps.html,FALSE
9,12-Traditions,readings/ca/12-traditions.html,FALSE
10,12-Concepts,readings/ca/12-concepts.html,FALSE
11,History,readings/ca/history.html,FALSE
