Id,Title,Filename,PageStart,PageEnd,PageStartPdf,PageEndPdf,SplitBook
0,"Front Cover
p. 1",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,1,1,1,1,TRUE
1,"Title Page and Copyright
p. 2-4",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,2,4,3,5,TRUE
2,"Table of Contents
p. v-xiii",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,5,13,6,14,TRUE
3,"Our Symbol
p. xiv-xvi",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,14,16,15,17,TRUE
4,"Preface to the Sixth Edition
p. xvii-xx",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,17,20,18,21,TRUE
5,"Preface to the First Edition
p. xxi-xxiv",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,21,24,22,25,TRUE
6,"Introduction
p. xxv-xxvi",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,25,26,26,27,TRUE
7,"Our Program
p. 1-2",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,1,2,28,29,TRUE
8,"Chapter One - Who Is an Addict?
p. 3-8",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,3,8,30,35,TRUE
9,"Chapter Two - What Is the Narcotics Anonymous Program
p. 9-12",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,9,12,36,39,TRUE
10,"Chapter Three - Why Are We Here
p. 13-16",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,13,16,40,43,TRUE
11,"Chapter Four - How It Works
p. 17-53",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,17,53,44,80,TRUE
12,"Chapter Five - What Can I Do?
p. 54-59",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,54,59,81,86,TRUE
13,"Chapter Six - The Twelve Traditions of Narcotics Anonymous
p. 60-76",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,60,76,87,103,TRUE
14,"Chapter Seven - Recovery and Relapse
p. 77-86",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,77,86,104,113,TRUE
15,"Chapter Eight - We Do Recover
p. 87-92",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,87,92,114,119,TRUE
16,"Chapter Nine - Just For Today - Living the Program
p. 93-100",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,93,100,120,127,TRUE
17,"Chapter Ten - More Will Be Revealed
p. 101-107",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,101,107,128,135,TRUE
18,"Our Members Share
p. 109-110",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,109,110,136,137,TRUE
19,"Introduction to Our Members Share
p. 111-114",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,111,114,138,141,TRUE
20,"Beginnings
p. 115-116",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,115,116,142,143,TRUE
21,"Reflections
p. 117-120",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,117,120,144,147,TRUE
22,"I Found the Only NA Meeting in the World
p. 121-127",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,121,127,148,154,TRUE
23,"Mid-Pacific Serenity
p. 128-134",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,128,134,155,161,TRUE
24,"If You Want What We Have
p. 135-141",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,135,141,162,168,TRUE
25,"Fearful Mother
p. 142-146",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,142,146,169,173,TRUE
26,"Jails, Institutions, and Recovery
p. 147-150 ",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,147,150,174,177,TRUE
27,"I Was Different
p. 151-154",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,151,154,178,181,TRUE
28,"Coming Home
p. 155-156",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,155,156,182,183,TRUE
29,"Reflections
p. 157-160",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,157,160,184,187,TRUE
30,"Start a Meeting, They Will Come
p. 161-164",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,161,164,188,191,TRUE
31,"The Point
p. 165-170",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,165,170,192,197,TRUE
32,"Carrying the Message
p. 171-175",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,171,175,198,202,TRUE
33,"Young Addict, Young NA Fellowship Grow Up Together
p. 176-178",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,176,178,203,205,TRUE
34,"A Quiet Satisfaction
p. 179-183",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,179,183,206,210,TRUE
35,"The Only Requirement
p. 184-186",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,184,186,211,213,TRUE
36,"Restored to Dignity
p. 187-191",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,187,191,214,218,TRUE
37,"Second Chance
p. 192-197",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,192,197,219,224,TRUE
38,"Sowing the Seed
p. 198-202",http://209.237.176.45/pdf/litfiles/us_english/Books/BT6E_Webposting.pdf,198,202,225,229,TRUE
