Id,Title,Filename,Book
0,Basic Texts,readings/oa/basic-texts/index.csv,FALSE
1,Opening Readings,readings/oa/opening-readings/index.csv,FALSE
2,Closing Readings,readings/oa/closing-readings/index.csv,FALSE
3,Prayers,readings/oa/prayers/index.csv,FALSE
4,Information,readings/oa/information.html,FALSE
5,What to Expect,readings/oa/what-to-expect.html,FALSE
6,Newcomers,readings/oa/newcomers.html,FALSE
7,Self-Assessment,readings/oa/self-assessment.html,FALSE
8,12-Steps,readings/oa/12-steps.html,FALSE
9,12-Traditions,readings/oa/12-traditions.html,FALSE
10,12-Concepts,readings/oa/12-concepts.html,FALSE
11,History,readings/oa/history.html,FALSE
